0000000001,1,0.11191230175872034
0000000002,2,0.05862111572023235,0000000001
0000000003,3,0.8378425517834676
0000000004,4,0.9015339929886345,0000000003,0000000001
0000000005,5,0.770511862418739,0000000004,0000000001,0000000003
0000000006,6,0.007915719517716384,0000000005,0000000004
0000000007,7,0.5059143641587373,0000000006,0000000003,0000000002
0000000008,8,0.33198549768404734,0000000001,0000000003,0000000006
0000000009,9,0.36348221156533034,0000000003,0000000005,0000000006
0000000049,49,0.6169908427357015,0000000020,0000000037,0000000035,0000000036
0000000050,50,0.4519968006713286,0000000033,0000000012,0000000046
0000000051,51,0.861916531121784,0000000038,0000000008,0000000018,0000000025
0000000052,52,0.12994455873622823,0000000019,0000000014,0000000015,0000000021
0000000053,53,0.17513563308761648,0000000015,0000000026,0000000027,0000000008
0000000054,54,0.5323940347734442,0000000045,0000000023,0000000005,0000000017
0000000055,55,0.9528089174268372,0000000047,0000000053,0000000048,0000000032
0000000056,56,0.5960618572928053,0000000045,0000000047,0000000004,0000000030
0000000057,57,0.1909137215340429,0000000018,0000000040,0000000020,0000000055
0000000058,58,0.9991586286916231,0000000031,0000000005,0000000054,0000000022
0000000059,59,0.7203760396217915,0000000043,0000000018,0000000025,0000000037
0000000060,60,0.22003773415718417,0000000039,0000000008,0000000026
0000000061,61,0.7666794462542847,0000000052,0000000023,0000000039,0000000049
0000000062,62,0.023120656910179813,0000000043,0000000052,0000000049
0000000063,63,0.8826752188247555,0000000049,0000000057,0000000014,0000000032
0000000064,64,0.2664215548872016,0000000010,0000000063,0000000022,0000000005
0000000065,65,0.8260327893946062,0000000003,0000000037,0000000055,0000000033
0000000066,66,0.9122149701695399,0000000002,0000000052,0000000001,0000000006
0000000067,67,0.9733904871032846,0000000011,0000000045,0000000021,0000000038
0000000068,68,0.1210036833014711,0000000034,0000000033,0000000010,0000000050
0000000069,69,0.15566363791975527,0000000017,0000000038,0000000012,0000000010
0000000070,70,0.06974409338038226,0000000029,0000000013,0000000066,0000000032
0000000071,71,0.63352624331122,0000000065,0000000006,0000000001,0000000066
0000000072,72,0.06525354124358836,0000000003,0000000026,0000000047,0000000007
0000000073,73,0.6736405869197808,0000000032,0000000062,0000000021,0000000033
0000000074,74,0.7927074733896016,0000000017,0000000013,0000000053,0000000054
0000000100,100,0.6115658282919533,0000000016,0000000069,0000000034,0000000071
0000000076,76,0.8114254840379712,0000000044,0000000037,0000000040,0000000014
0000000077,77,0.9088017942211314,0000000072,0000000059,0000000056,0000000064
0000000078,78,0.43459847561437487,0000000021,0000000070,0000000058,0000000050
0000000079,79,0.17899890287304893,0000000050,0000000064,0000000066,0000000041
0000000080,80,0.2532306903596456,0000000059,0000000035,0000000057,0000000056
0000000081,81,0.7845280287807803,0000000079,0000000015,0000000048,0000000053
0000000082,82,0.9762014500816374,0000000061,0000000024,0000000038,0000000027
0000000083,83,0.7624509260473934,0000000037,0000000033,0000000053,0000000010
0000000084,84,0.8585882379885336,0000000001,0000000083,0000000060,0000000081
0000000085,85,0.19048496095202141,0000000076,0000000015,0000000025,0000000004
0000000086,86,0.7862490884591052,0000000038,0000000050,0000000004,0000000005
0000000087,87,0.3162989871998809,0000000015,0000000007,0000000044
0000000088,88,0.6330571225195933,0000000004,0000000007,0000000079,0000000077
0000000089,89,0.30157120761519607
0000000090,90,0.15633444044401534
0000000091,91,0.6524142467096442,0000000002,0000000035,0000000054,0000000022
0000000092,92,0.9324973469615341,0000000023,0000000034,0000000050,0000000009
0000000093,93,0.3421707906470562,0000000084,0000000031,0000000085,0000000016
0000000094,94,0.33919921907305667,0000000009,0000000064,0000000052,0000000076
0000000095,95,0.3674518053269291,0000000093,0000000068,0000000010,0000000065
0000000096,96,0.5062273165194967,0000000061,0000000083,0000000010
0000000097,97,0.24551885838467552,0000000093,0000000026,0000000034
0000000098,98,0.18750627565674474,0000000028,0000000053,0000000062,0000000074
0000000099,99,0.7563561521200025,0000000062,0000000034,0000000041,0000000001
0000000075,75,0.01466970984534066,0000000010,0000000001,0000000057,0000000009
