dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl,1,0.6691117550295548
KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz,17,0.5794162695722966,AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz
OiERLmlGgFscjfqTgeVldqJcmvrSBThsyXucxMg,38,0.9224668889833336,ttyPZnuaAxSlpTPkWPAUrzIIJTeHGJSXPecdbBZ
dxVLBARycIWtbFXWFblomKvbVdpjLOQBZbuUfFQ,45,0.11926965181832729,lkValdbuadZGNXequDzFXZTsszFiZFCxgVvuHxM
HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB,25,0.6084361734675474,WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE
kqnzcEJKgQodoDQZdpQslWggGDKlokQlgqPKbnR,26,0.8982103250544365,gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd
xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX,27,0.8952332426670249,qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO
kUuFralcratIyGXuEIUAcYfETllqiswGyyuZMhg,21,0.2806863498895161,qNbqRxcWSiMRATeqNWDpnyFiOzOuBFgBmujLyJc
HQkctMmJzcrobLvNbyCUnbAWrFkUJMbxvJhRsuk,30,0.5992671293214185,JzYWgasBfdnwtfsmUNjHDUxFLSPQttXPQTWOfhh
BlxAGJMsmcARpUzJVYqmlPbGUaHTGnBqBfgeETc,46,0.9166961395242356,KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz
lkValdbuadZGNXequDzFXZTsszFiZFCxgVvuHxM,31,0.825664522991504,XaThTjzjrzVzbvEcHzmFTOBRMWopkMZcGxWElRi
lDuQElZRuAExQfpRgcQllkltZonbASxkTPplvlu,34,0.436766482513007,mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq
kQSgsLzJDwmHZxTMSqROYfMaebIPrAepejpKOlL,33,0.3519190252218206,mSUxAbndtiOuebzezvEUpcmZtqlkCDUqOnJagyl
zJmeeZCXDHiHwbLnvgQtenezdoGzPYhAxUJFBYv,42,0.5917604189717843,xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX
pgxcQrddhChcGOnSPxvGoDhDuGMIinsRuHccZdw,55,0.6747740020755043,mSUxAbndtiOuebzezvEUpcmZtqlkCDUqOnJagyl
EhDgIdGevrJqnPWlvxXIKHGkHrLwksQzTPJunRc,37,0.6668392652555999,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
dngvFGuVIbMBQxSXlkpFNmAfIfpYGXoQXYJzKet,4,0.0039559042894481596
AhnzrlQBzVjlLYLrkmPWlJgruOFaDzcdKiBbXir,61,0.7051478259961753,YXbxlLKFlQUHLWwFzVogUdjhVzmoKOQqAZtrnOJ
sMqrEphJMpWNEdhJkcBkoEauNkMBiSuGBcEtDrl,39,0.4110352039396988,kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy
ueaKjIJGJUGffcGFNxcgrkwKKsgseSjBEByORyF,75,0.6103957696315201,LIHbXOMVnjfdUfcHYKlUAFQxWbvypvgWKeXqOFJ
YXbxlLKFlQUHLWwFzVogUdjhVzmoKOQqAZtrnOJ,14,0.4249808127144669,gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd
sptLWNMwwRVlWZzqfppRMsRtyoZUqGhxcHeqHqg,96,0.2096370202058135,HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB
OsCDofZfrfFSCTHWCaqcBKdIrsErLCvzdnRUpKo,48,0.6653597119726795,OiERLmlGgFscjfqTgeVldqJcmvrSBThsyXucxMg
XTaDYxbGOEuxWtluZwDyBVeMvucgffEAlaFBiWC,44,0.15065879177578087,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
ZlUMOzdAuCCVNDpgXENNwSAYNNtMYcyRatzbpNE,64,0.9585165169366354,pgxcQrddhChcGOnSPxvGoDhDuGMIinsRuHccZdw
semViZZvUuCvKhcGKPCVWAmHhENblggXNVraHxC,62,0.4591519326709728,xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX
pEsrTsgPmqwZkXZwswmZsSnIdtWERCVKQqxRjdx,47,0.8027495715459061,LIHbXOMVnjfdUfcHYKlUAFQxWbvypvgWKeXqOFJ
ShyKbYTZtVvSGKASumCRqabKcZLYTvYOHuMWWSy,49,0.5369626839676033,mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq
VCIDWGgvIFbkoZnrEJELtlUfRjIuHWGtybAUaQu,88,0.816747217291412,dxVLBARycIWtbFXWFblomKvbVdpjLOQBZbuUfFQ
gLdrrNdVEonJGxQLDzUBdRSQoQTAUCbJdjXcXdn,50,0.810169912967165,kqnzcEJKgQodoDQZdpQslWggGDKlokQlgqPKbnR
PvBlPPCSbHhZTVilaVJrMoPyyXhhxHEiIEzLnSx,51,0.876845290498803,OiERLmlGgFscjfqTgeVldqJcmvrSBThsyXucxMg
FHjJgvxaqxxuEfMEGlAZATUsevHFJTYDPomczzB,53,0.7246249332614229,GdyMekZgykZMBppDausLLafCBFzmTHLBnvUwMul
eosFDUcgvzVPwiQjDVBLHzQNNaFUKxswSrFomBy,57,0.3802299922625232,WqOYMYZjMUOPlEOLpgPUfSVXxsAEiPlvARPsgYk
rntnieJExcWHITiLwSEvmDTyfqprNeRPILgXMhu,54,0.2968641943736897,KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz
dHwiBtJvVtDkNOerhdkVgaNzRduwbZRiuEWGaZO,59,0.7576731038352424,kQSgsLzJDwmHZxTMSqROYfMaebIPrAepejpKOlL
JbByrokLnKARwXHMBICFciQHPEQMBVaxxwERvlX,23,0.6659205289626131,kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy
IHZomrRLPBPosNjvzAftIFTwiPhHsHgeMaWwdUo,58,0.3485067128513965,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
lsTzgGwiqINGLIeROYsLUHXbOcZNZpFVrFOHdZZ,60,0.26853084095295654,JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk
fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt,35,0.19698670023242323,CmhKfjjmapZwJShgdydrIUHVCSfLNrNtuhEAvYn
gQdAvaUSWVmaCKVVznJFLypXCVRaxRoayKdBAAH,63,0.38465638757948034,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
TCEPOwgfVBLYFTXkOnjnnZkgPOTONLgOviFjVuE,85,0.7481953751857947,gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd
GQPhHtgKIXguHBmeHnGHNTtfXnoHfrHNDVOoVkg,90,0.5731403287727861,wNSQWFOarLEnXghSBYkxvniDUhlodGHwmVnoQUs
LexYZJBZHsrSMChyZxJYhVCwsnhhtRdAFVLNUfg,68,0.5342252764987019,semViZZvUuCvKhcGKPCVWAmHhENblggXNVraHxC
LRsWoVVWsFqnUsaOofjycHTMGlerkxtcRJiTQuy,56,0.3911352599403007,xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX
tUlQGZaDfDVBicFaqEZNoPoaHifAzdvUZcpNqZW,89,0.8477038171810324,ZlUMOzdAuCCVNDpgXENNwSAYNNtMYcyRatzbpNE
XhCHlkSZfVORDLWGkTfrkFYnQaCQwAhHjQJzFUN,83,0.2216715179235784,LRsWoVVWsFqnUsaOofjycHTMGlerkxtcRJiTQuy
mAekyweynmHHfkblrTGgTLDOBDBwEGEmHRtbjHn,67,0.8610540248466318,HQkctMmJzcrobLvNbyCUnbAWrFkUJMbxvJhRsuk
CDaRVwIVLpZBOBiYgoUuJgMOrksDHKfTWYpdvKv,65,0.22779853004217315,HQkctMmJzcrobLvNbyCUnbAWrFkUJMbxvJhRsuk
YpKNWfaJkUakQhJYuudDdscCOXhUJjTlgkUhThW,69,0.9650912047048116,sMqrEphJMpWNEdhJkcBkoEauNkMBiSuGBcEtDrl
qworeAaAKYuxXdYYSHWxNfhBfmWVGgphjhtcnth,70,0.962455901044538,XTaDYxbGOEuxWtluZwDyBVeMvucgffEAlaFBiWC
vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc,10,0.4278318871217118,WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR
JwPNWRgzuZWshIphgReNVaCMUGCgkIPxggWLCeb,73,0.20042728341807292,LexYZJBZHsrSMChyZxJYhVCwsnhhtRdAFVLNUfg
aQrzGClYRyRFpiaeawRZJXCBwnBSzqgrcHJHcIF,74,0.37514056858705946,rntnieJExcWHITiLwSEvmDTyfqprNeRPILgXMhu
GYcgyCCacBaEMUfAQJVLNZWvFksGHNjzmeCagad,76,0.6547229714231099,YpKNWfaJkUakQhJYuudDdscCOXhUJjTlgkUhThW
daNNkQBIOwgcKHTCkSAdwmthVyutgyOffaSXvUR,77,0.9729595964395424,sMqrEphJMpWNEdhJkcBkoEauNkMBiSuGBcEtDrl
wqpaGMiRTXguqalGylRHuKJhTTyqRnBPkXBefvb,97,0.5211119953582966,kvpIqfFJCulivKzSmcvehVetDcePpEYjeTStTQD
PmQJBDKAEdzwkJYhrpduMxgmqzKCZqWWQmIXWoN,82,0.8434464851598709,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
TJjbehouOTvhpZjGJyqWBtoYJRuIuScoASthFnc,78,0.9702418575200135,WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR
eyQwKKeOujgPscexNELofkTzDsazEhSZxcTwihH,80,0.10056066145907636,jtbQVpSizrwuTmqiyyXOvMDpYghDQOIGGDToJGR
GVRPyUWCPUXLNCxxMNeqJGpggrttXMXabcBaYFy,81,0.39455671128468023,gLdrrNdVEonJGxQLDzUBdRSQoQTAUCbJdjXcXdn
UgftDCukutmyWiweQAFjZaQdzAhzTGvGKUCWQdM,84,0.29432669968330366,XTaDYxbGOEuxWtluZwDyBVeMvucgffEAlaFBiWC
qQidnlTXsUBDnISDKrvmKtgqPaexfpkpgmxWcEq,91,0.8552606650149447,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
MfzteVBoRRCuQspGLjkPkwCpVWUdXZNmfbOlFLu,72,0.12109459919265009,HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB
PqJkoCXJmfxmpMwbqjnUazdlGnYRLPOGXuRemyc,86,0.05667684396229879,XhCHlkSZfVORDLWGkTfrkFYnQaCQwAhHjQJzFUN
eutDohZTsTLWODwDGrXVKWIrXbtcMFIxmEefONW,92,0.7166277597421604,kDzCozyajPmgidfeXXRjGobjGmDvteqMkIByOIi
TroHJjHrcdYCGfAeHpNiYOocNfPQAlZozEJWUiM,87,0.4557524075136347,mAekyweynmHHfkblrTGgTLDOBDBwEGEmHRtbjHn
phqQhahGngXqbeHMfmPMZLwiXGpZGwyYDWAIzWb,79,0.10016194891192397,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
HvksJWKLmyQLFLroRuVCkXQzntUYbNrTcIXnyAN,52,0.18953220245833147,GdyMekZgykZMBppDausLLafCBFzmTHLBnvUwMul
KVkVZHyfohbCAjiFHxOAgmkicZGOsSriuErgths,66,0.17338672832632368,AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz
LIHbXOMVnjfdUfcHYKlUAFQxWbvypvgWKeXqOFJ,29,0.14072281673112885,kqnzcEJKgQodoDQZdpQslWggGDKlokQlgqPKbnR
GdyMekZgykZMBppDausLLafCBFzmTHLBnvUwMul,40,0.09604952665170038,mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq
XXRSXYCSemenoBhZeDmDLeHTcdAbjKnnmFrUjnn,93,0.2616255443391489,YXbxlLKFlQUHLWwFzVogUdjhVzmoKOQqAZtrnOJ
kvpIqfFJCulivKzSmcvehVetDcePpEYjeTStTQD,94,0.6768090487658546,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
SaBuIaeZHsaXvTokdkimfvihbmKiRyeqACAQiaa,95,0.30673959227924,ttyPZnuaAxSlpTPkWPAUrzIIJTeHGJSXPecdbBZ
QGPZCOUIwuvmlXgZdgQLXOEhjZfoTWIKzDmwyBg,98,0.6854242360795315,CmhKfjjmapZwJShgdydrIUHVCSfLNrNtuhEAvYn
zbNsRKGWsPozdcHcyatRSvlFhNXrjokQqTpAdbq,43,0.06013657660830528,EhDgIdGevrJqnPWlvxXIKHGkHrLwksQzTPJunRc
PyDuscEzmluOGRCHpFfBdFDcsuqMJuGeIwoBXJO,20,0.3944177639029584,JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk
wNSQWFOarLEnXghSBYkxvniDUhlodGHwmVnoQUs,24,0.1054105309251195,JzYWgasBfdnwtfsmUNjHDUxFLSPQttXPQTWOfhh
PgwetwnFGoDcZIwqeHsFSAfavsWEzozuDHrriQw,99,0.9604086199477742,daNNkQBIOwgcKHTCkSAdwmthVyutgyOffaSXvUR
PgeGUaclpZACeXeUeoqlpIJXVReRpYLYdtIYvQd,100,0.8787664511458838,WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE
