dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl,1,0.6691117550295548
JbByrokLnKARwXHMBICFciQHPEQMBVaxxwERvlX,23,0.6659205289626131,kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy
wNSQWFOarLEnXghSBYkxvniDUhlodGHwmVnoQUs,24,0.1054105309251195,JzYWgasBfdnwtfsmUNjHDUxFLSPQttXPQTWOfhh
HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB,25,0.6084361734675474,WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE
kqnzcEJKgQodoDQZdpQslWggGDKlokQlgqPKbnR,26,0.8982103250544365,gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd
xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX,27,0.8952332426670249,qJhhXJceaKnrvruanMFhOWlVDnxPfpXCTORahlO
XaThTjzjrzVzbvEcHzmFTOBRMWopkMZcGxWElRi,28,0.7808451583898122,KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz
LIHbXOMVnjfdUfcHYKlUAFQxWbvypvgWKeXqOFJ,29,0.14072281673112885,kqnzcEJKgQodoDQZdpQslWggGDKlokQlgqPKbnR
HQkctMmJzcrobLvNbyCUnbAWrFkUJMbxvJhRsuk,30,0.5992671293214185,JzYWgasBfdnwtfsmUNjHDUxFLSPQttXPQTWOfhh
lkValdbuadZGNXequDzFXZTsszFiZFCxgVvuHxM,31,0.825664522991504,XaThTjzjrzVzbvEcHzmFTOBRMWopkMZcGxWElRi
oyHdFfkSsHTRQAAJpvNeERigZntloCnbtVRIVUa,32,0.558616625696543,HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB
kQSgsLzJDwmHZxTMSqROYfMaebIPrAepejpKOlL,33,0.3519190252218206,mSUxAbndtiOuebzezvEUpcmZtqlkCDUqOnJagyl
lDuQElZRuAExQfpRgcQllkltZonbASxkTPplvlu,34,0.436766482513007,mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq
fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt,35,0.19698670023242323,CmhKfjjmapZwJShgdydrIUHVCSfLNrNtuhEAvYn
WqOYMYZjMUOPlEOLpgPUfSVXxsAEiPlvARPsgYk,36,0.7338543683009331,QmBjfTuhuwBQkzvPyRsGaeFsEIiUtEnijdqcMFc
EhDgIdGevrJqnPWlvxXIKHGkHrLwksQzTPJunRc,37,0.6668392652555999,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
OiERLmlGgFscjfqTgeVldqJcmvrSBThsyXucxMg,38,0.9224668889833336,ttyPZnuaAxSlpTPkWPAUrzIIJTeHGJSXPecdbBZ
sMqrEphJMpWNEdhJkcBkoEauNkMBiSuGBcEtDrl,39,0.4110352039396988,kxVdpVAymZpTaMNscUuZJOsTHEjSofimwEwUVMy
GdyMekZgykZMBppDausLLafCBFzmTHLBnvUwMul,40,0.09604952665170038,mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq
jtbQVpSizrwuTmqiyyXOvMDpYghDQOIGGDToJGR,41,0.7118208641367697,WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR
zJmeeZCXDHiHwbLnvgQtenezdoGzPYhAxUJFBYv,42,0.5917604189717843,xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX
zbNsRKGWsPozdcHcyatRSvlFhNXrjokQqTpAdbq,43,0.06013657660830528,EhDgIdGevrJqnPWlvxXIKHGkHrLwksQzTPJunRc
XTaDYxbGOEuxWtluZwDyBVeMvucgffEAlaFBiWC,44,0.15065879177578087,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
dxVLBARycIWtbFXWFblomKvbVdpjLOQBZbuUfFQ,45,0.11926965181832729,lkValdbuadZGNXequDzFXZTsszFiZFCxgVvuHxM
BlxAGJMsmcARpUzJVYqmlPbGUaHTGnBqBfgeETc,46,0.9166961395242356,KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz
pEsrTsgPmqwZkXZwswmZsSnIdtWERCVKQqxRjdx,47,0.8027495715459061,LIHbXOMVnjfdUfcHYKlUAFQxWbvypvgWKeXqOFJ
OsCDofZfrfFSCTHWCaqcBKdIrsErLCvzdnRUpKo,48,0.6653597119726795,OiERLmlGgFscjfqTgeVldqJcmvrSBThsyXucxMg
ShyKbYTZtVvSGKASumCRqabKcZLYTvYOHuMWWSy,49,0.5369626839676033,mFYndIFOsODvDHymIBQxJNAlhGzcbGPeuiTWEtq
gLdrrNdVEonJGxQLDzUBdRSQoQTAUCbJdjXcXdn,50,0.810169912967165,kqnzcEJKgQodoDQZdpQslWggGDKlokQlgqPKbnR
PvBlPPCSbHhZTVilaVJrMoPyyXhhxHEiIEzLnSx,51,0.876845290498803,OiERLmlGgFscjfqTgeVldqJcmvrSBThsyXucxMg
HvksJWKLmyQLFLroRuVCkXQzntUYbNrTcIXnyAN,52,0.18953220245833147,GdyMekZgykZMBppDausLLafCBFzmTHLBnvUwMul
FHjJgvxaqxxuEfMEGlAZATUsevHFJTYDPomczzB,53,0.7246249332614229,GdyMekZgykZMBppDausLLafCBFzmTHLBnvUwMul
rntnieJExcWHITiLwSEvmDTyfqprNeRPILgXMhu,54,0.2968641943736897,KGNnlzDJZfjUcmtyUoZbrqHmLDEreAwYyUoxrtz
pgxcQrddhChcGOnSPxvGoDhDuGMIinsRuHccZdw,55,0.6747740020755043,mSUxAbndtiOuebzezvEUpcmZtqlkCDUqOnJagyl
LRsWoVVWsFqnUsaOofjycHTMGlerkxtcRJiTQuy,56,0.3911352599403007,xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX
eosFDUcgvzVPwiQjDVBLHzQNNaFUKxswSrFomBy,57,0.3802299922625232,WqOYMYZjMUOPlEOLpgPUfSVXxsAEiPlvARPsgYk
IHZomrRLPBPosNjvzAftIFTwiPhHsHgeMaWwdUo,58,0.3485067128513965,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
dHwiBtJvVtDkNOerhdkVgaNzRduwbZRiuEWGaZO,59,0.7576731038352424,kQSgsLzJDwmHZxTMSqROYfMaebIPrAepejpKOlL
lsTzgGwiqINGLIeROYsLUHXbOcZNZpFVrFOHdZZ,60,0.26853084095295654,JQbYYgTuVEEzhPVpztDxIRymNoKxoiMUhZAGNKk
AhnzrlQBzVjlLYLrkmPWlJgruOFaDzcdKiBbXir,61,0.7051478259961753,YXbxlLKFlQUHLWwFzVogUdjhVzmoKOQqAZtrnOJ
semViZZvUuCvKhcGKPCVWAmHhENblggXNVraHxC,62,0.4591519326709728,xfXHprHAeYOclWSsPjDmEOyfgPhQbkqYNhthhjX
gQdAvaUSWVmaCKVVznJFLypXCVRaxRoayKdBAAH,63,0.38465638757948034,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
ZlUMOzdAuCCVNDpgXENNwSAYNNtMYcyRatzbpNE,64,0.9585165169366354,pgxcQrddhChcGOnSPxvGoDhDuGMIinsRuHccZdw
CDaRVwIVLpZBOBiYgoUuJgMOrksDHKfTWYpdvKv,65,0.22779853004217315,HQkctMmJzcrobLvNbyCUnbAWrFkUJMbxvJhRsuk
KVkVZHyfohbCAjiFHxOAgmkicZGOsSriuErgths,66,0.17338672832632368,AWGdMTwsIYWegLiQNxINEVsoGKlEbOQlwQJpxbz
mAekyweynmHHfkblrTGgTLDOBDBwEGEmHRtbjHn,67,0.8610540248466318,HQkctMmJzcrobLvNbyCUnbAWrFkUJMbxvJhRsuk
LexYZJBZHsrSMChyZxJYhVCwsnhhtRdAFVLNUfg,68,0.5342252764987019,semViZZvUuCvKhcGKPCVWAmHhENblggXNVraHxC
YpKNWfaJkUakQhJYuudDdscCOXhUJjTlgkUhThW,69,0.9650912047048116,sMqrEphJMpWNEdhJkcBkoEauNkMBiSuGBcEtDrl
qworeAaAKYuxXdYYSHWxNfhBfmWVGgphjhtcnth,70,0.962455901044538,XTaDYxbGOEuxWtluZwDyBVeMvucgffEAlaFBiWC
WNvikKYdwVkxfSSEmwtgsEnFDcLAfFxfnAyRNvh,71,0.5828055432873754,dwJRkObrXfLdFwqiIpuMIroEoBhWZOyFsvlrOtl
MfzteVBoRRCuQspGLjkPkwCpVWUdXZNmfbOlFLu,72,0.12109459919265009,HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB
JwPNWRgzuZWshIphgReNVaCMUGCgkIPxggWLCeb,73,0.20042728341807292,LexYZJBZHsrSMChyZxJYhVCwsnhhtRdAFVLNUfg
aQrzGClYRyRFpiaeawRZJXCBwnBSzqgrcHJHcIF,74,0.37514056858705946,rntnieJExcWHITiLwSEvmDTyfqprNeRPILgXMhu
ueaKjIJGJUGffcGFNxcgrkwKKsgseSjBEByORyF,75,0.6103957696315201,LIHbXOMVnjfdUfcHYKlUAFQxWbvypvgWKeXqOFJ
GYcgyCCacBaEMUfAQJVLNZWvFksGHNjzmeCagad,76,0.6547229714231099,YpKNWfaJkUakQhJYuudDdscCOXhUJjTlgkUhThW
daNNkQBIOwgcKHTCkSAdwmthVyutgyOffaSXvUR,77,0.9729595964395424,sMqrEphJMpWNEdhJkcBkoEauNkMBiSuGBcEtDrl
TJjbehouOTvhpZjGJyqWBtoYJRuIuScoASthFnc,78,0.9702418575200135,WULXHewNxoMaBwTakGvrctZqiYnCYnKvmMaXRLR
phqQhahGngXqbeHMfmPMZLwiXGpZGwyYDWAIzWb,79,0.10016194891192397,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
eyQwKKeOujgPscexNELofkTzDsazEhSZxcTwihH,80,0.10056066145907636,jtbQVpSizrwuTmqiyyXOvMDpYghDQOIGGDToJGR
GVRPyUWCPUXLNCxxMNeqJGpggrttXMXabcBaYFy,81,0.39455671128468023,gLdrrNdVEonJGxQLDzUBdRSQoQTAUCbJdjXcXdn
PmQJBDKAEdzwkJYhrpduMxgmqzKCZqWWQmIXWoN,82,0.8434464851598709,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
XhCHlkSZfVORDLWGkTfrkFYnQaCQwAhHjQJzFUN,83,0.2216715179235784,LRsWoVVWsFqnUsaOofjycHTMGlerkxtcRJiTQuy
UgftDCukutmyWiweQAFjZaQdzAhzTGvGKUCWQdM,84,0.29432669968330366,XTaDYxbGOEuxWtluZwDyBVeMvucgffEAlaFBiWC
TCEPOwgfVBLYFTXkOnjnnZkgPOTONLgOviFjVuE,85,0.7481953751857947,gWFrVrYVhLBJMeBARkWcaAoXchGnJZlcvSEetFd
PqJkoCXJmfxmpMwbqjnUazdlGnYRLPOGXuRemyc,86,0.05667684396229879,XhCHlkSZfVORDLWGkTfrkFYnQaCQwAhHjQJzFUN
TroHJjHrcdYCGfAeHpNiYOocNfPQAlZozEJWUiM,87,0.4557524075136347,mAekyweynmHHfkblrTGgTLDOBDBwEGEmHRtbjHn
VCIDWGgvIFbkoZnrEJELtlUfRjIuHWGtybAUaQu,88,0.816747217291412,dxVLBARycIWtbFXWFblomKvbVdpjLOQBZbuUfFQ
tUlQGZaDfDVBicFaqEZNoPoaHifAzdvUZcpNqZW,89,0.8477038171810324,ZlUMOzdAuCCVNDpgXENNwSAYNNtMYcyRatzbpNE
GQPhHtgKIXguHBmeHnGHNTtfXnoHfrHNDVOoVkg,90,0.5731403287727861,wNSQWFOarLEnXghSBYkxvniDUhlodGHwmVnoQUs
qQidnlTXsUBDnISDKrvmKtgqPaexfpkpgmxWcEq,91,0.8552606650149447,fKfJVGRlvhdiIjEVNseipElMSrsdqXyhTmDlXOt
eutDohZTsTLWODwDGrXVKWIrXbtcMFIxmEefONW,92,0.7166277597421604,kDzCozyajPmgidfeXXRjGobjGmDvteqMkIByOIi
XXRSXYCSemenoBhZeDmDLeHTcdAbjKnnmFrUjnn,93,0.2616255443391489,YXbxlLKFlQUHLWwFzVogUdjhVzmoKOQqAZtrnOJ
kvpIqfFJCulivKzSmcvehVetDcePpEYjeTStTQD,94,0.6768090487658546,vtoIeiOMwNhevkUUvbGyoworpqQmilQqnUFYtVc
SaBuIaeZHsaXvTokdkimfvihbmKiRyeqACAQiaa,95,0.30673959227924,ttyPZnuaAxSlpTPkWPAUrzIIJTeHGJSXPecdbBZ
sptLWNMwwRVlWZzqfppRMsRtyoZUqGhxcHeqHqg,96,0.2096370202058135,HeqnnUDUcMLGnqljpoSCwSKxELVQYUDcsigFIeB
wqpaGMiRTXguqalGylRHuKJhTTyqRnBPkXBefvb,97,0.5211119953582966,kvpIqfFJCulivKzSmcvehVetDcePpEYjeTStTQD
QGPZCOUIwuvmlXgZdgQLXOEhjZfoTWIKzDmwyBg,98,0.6854242360795315,CmhKfjjmapZwJShgdydrIUHVCSfLNrNtuhEAvYn
PgwetwnFGoDcZIwqeHsFSAfavsWEzozuDHrriQw,99,0.9604086199477742,daNNkQBIOwgcKHTCkSAdwmthVyutgyOffaSXvUR
PgeGUaclpZACeXeUeoqlpIJXVReRpYLYdtIYvQd,100,0.8787664511458838,WkoCApZqGnilSZoJzYqvznvPEbqRIQqynqSUPyE
